"pair","gene","excess_before","excess_after","retained","induced_share"
"endothelial -> epithelial","HSPA1A",3569.77017284739,3102.37852048158,0.869069539568426,0.770578752591626
"endothelial -> epithelial","HSPB1",1272.52757973734,1092.82409897174,0.858782250674132,0.764428175969343
"endothelial -> epithelial","HSPA1B",3269.57936210131,2872.61902847463,0.878589784903839,0.785165528992149
"endothelial -> epithelial","FOS",971.375513951539,767.660569089944,0.790281984736381,0.807478150467313
"endothelial -> epithelial","RGCC",863.321360424733,651.498729758577,0.754642198865618,0.717383563915027
"endothelial -> epithelial","CAV1",815.721488164145,712.04568679158,0.872902941902515,0.847782537642002
"endothelial -> fibroblast","MT1X",1221.18120798284,1065.70401260737,0.872682944710315,0.799839985943441
"endothelial -> fibroblast","GPX3",2497.09069987983,2040.11753671896,0.816997771373358,0.803602833315069
"endothelial -> fibroblast","COL18A1",3036.13899245033,2775.7689907596,0.914243055954235,0.851069480269515
"endothelial -> fibroblast","COL4A1",4278.49670020708,3464.14959601723,0.809665132112773,0.73274094795209
"endothelial -> fibroblast","ADIRF",566.900511815388,492.385592087402,0.868557325006876,0.803592454296726
"endothelial -> fibroblast","CAV1",974.389957932259,705.323071064361,0.723861186501879,0.663150655841411
"endothelial -> fibroblast","ITGA9",563.703287828858,509.74181257283,0.904273264993958,0.828487980895045
"endothelial -> fibroblast","COL4A2",5441.59484595395,4622.35735002444,0.849449009137707,0.755619685951823
"endothelial -> fibroblast","CCL21",1356.76056048096,1046.68497079259,0.771458871432369,0.712561146090971
"endothelial -> fibroblast","RGS5",1051.7439427555,829.774718487758,0.788951269178508,0.744966188347035
"endothelial -> fibroblast","PDGFA",605.746680413605,541.974961265419,0.894722131857755,0.829167046551161
"endothelial -> immune other","GPX3",2252.16834834463,1322.7183024948,0.587308805519359,0.632884218599757
"endothelial -> immune other","HSPA1A",10822.0711963871,8516.94254790606,0.786997460407526,0.757186819918133
"endothelial -> immune other","HSPA1B",9197.78564322564,7255.72034669812,0.788855125368365,0.754450091677953
"endothelial -> immune other","CCL21",2346.56740649951,1742.52128730452,0.742583094982949,0.735233266537331
"endothelial -> malignant","HSPA1B",1128.77555464465,1002.78684735751,0.888384624588368,0.867644458355783
"endothelial -> malignant","FOS",1013.47822901393,946.824557056664,0.934232754045325,0.960844835657787
"endothelial -> malignant","JUNB",941.182991164276,894.432090205039,0.950327511867373,0.936448909693588
"epithelial -> endothelial","HSP90AA1",1102.96574819389,1023.98632001368,0.928393580390383,0.895774189064937
"epithelial -> endothelial","CCND1",889.719213056553,784.183934225914,0.881383612625289,0.883269893017379
"epithelial -> endothelial","KRT7",830.084554764637,536.961069858399,0.64687514877403,0.68758649433654
