"cell_type","own_marker_molecules","false_removal"
"Ductal/tumor epithelial",864594,0.0391085295525992
"Endocrine",91502,0.00168302332189463
"Endothelial",128102,0.0463302680676336
"Exocrine epithelial",1534555,0.00221692933782103
"Fibroblast / CAF",537017,0.00592160024729194
"Immune",168037,0.0579098650892363
"Mural / pericyte",26724,0.0795539589881754
