"pair","source","target","pool","strict"
"Endothelial -> Immune","Endothelial","Immune","CLEC14A;VWF;STC1;ADGRL4;RAMP2;APOLD1;SOX17;ACKR1;CD34;ECSCR;EGFL7;MMRN2;ANGPT2;RAPGEF3;CAVIN2;NPDC1;HIGD1B;BTNL9;TCIM;MCF2L","CLEC14A;VWF;STC1;ADGRL4;RAMP2;APOLD1;SOX17;ACKR1;CD34"
"Endothelial -> Mural / pericyte","Endothelial","Mural / pericyte","VWF;STC1;CLEC14A;EGFL7;PECAM1;ADGRL4;ACKR1;ECSCR;RAMP2;CD34;TM4SF18;CD93;SOX17;NPDC1;IL3RA;BTNL9;MMRN2;TCIM;SH2D3C;S100A12","VWF;STC1;CLEC14A;EGFL7;PECAM1;ADGRL4;ACKR1"
"Exocrine epithelial -> Ductal/tumor epithelial","Exocrine epithelial","Ductal/tumor epithelial","AMY2A;AQP8;GATM;ANPEP;DPEP1;KCNK3;KLK11;CPA3;GPC3;UMOD;PROX1;PEBP4;DIRAS3;HAMP;CFTR;CA4;MLANA;FKBP11;GLYATL1;UPK3B","AMY2A;AQP8;GATM"
"Exocrine epithelial -> Endocrine","Exocrine epithelial","Endocrine","KLK11;ANPEP;AQP8;GATM;MYC;HAMP;DPEP1;UMOD;AMY2A;CFTR;COCH;GLYATL1;GPC3;FKBP11;CA4;UPK3B;RIDA;MLANA;CPA3;SMYD2","KLK11;ANPEP;AQP8;GATM;MYC;HAMP;DPEP1"
"Exocrine epithelial -> Endothelial","Exocrine epithelial","Endothelial","AQP8;GATM;AMY2A;KLK11;ANPEP;CFTR;DPEP1;KCNK3;UMOD;CA4;DIRAS3;PROX1;FKBP11;PEBP4;AQP3;HAMP;GLYATL1;RIDA;COCH;CPA3","AQP8;GATM;AMY2A;KLK11;ANPEP;CFTR"
"Exocrine epithelial -> Fibroblast / CAF","Exocrine epithelial","Fibroblast / CAF","AQP8;GATM;AMY2A;KLK11;CFTR;ANPEP;PROX1;KCNK3;UMOD;DIRAS3;CA4;HAMP;AQP3;RIDA;DPEP1;GLYATL1;FKBP11;MYC;COCH;PEBP4","AQP8;GATM;AMY2A;KLK11;CFTR;ANPEP;PROX1;KCNK3"
"Exocrine epithelial -> Immune","Exocrine epithelial","Immune","AQP8;GATM;AMY2A;CFTR;KLK11;PROX1;KCNK3;ANPEP;DPEP1;UMOD;CA4;DIRAS3;MYC;FKBP11;GLYATL1;RIDA;AQP3;PEBP4;COCH;GPC3","AQP8;GATM;AMY2A;CFTR;KLK11"
"Exocrine epithelial -> Mural / pericyte","Exocrine epithelial","Mural / pericyte","AQP8;GATM;AMY2A;CFTR;ANPEP;PROX1;KLK11;DPEP1;CA4;FKBP11;HAMP;UMOD;GLYATL1;DIRAS3;RIDA;AQP3;SMYD2;COCH;UPK3B;PEBP4","AQP8;GATM;AMY2A;CFTR;ANPEP"
"Fibroblast / CAF -> Ductal/tumor epithelial","Fibroblast / CAF","Ductal/tumor epithelial","SFRP2;THBS2;COL5A2;SFRP4;FBN1;PDGFRA;MFAP5;ASPN;THY1;C7;PTGDS;LTBP2;INMT;PCOLCE;PDPN;FBLN1;SRPX;CTSK;IGF1;RGS16","SFRP2;THBS2;COL5A2;SFRP4;FBN1;PDGFRA;MFAP5;ASPN;THY1"
"Fibroblast / CAF -> Endocrine","Fibroblast / CAF","Endocrine","MFAP5;THBS2;VCAN;COL5A2;BASP1;SEMA3C;FBN1;LTBP2;PDGFRA;SFRP2;SFRP4;CTSK;THY1;PTGDS;PMP22;PDPN;FBLN1;PCOLCE;ASPN;INMT","MFAP5;THBS2;VCAN;COL5A2;BASP1;SEMA3C;FBN1;LTBP2;PDGFRA;SFRP2;SFRP4;CTSK;THY1"
