"cell_type","own_marker_molecules","false_removal"
"Ductal/tumor epithelial",864594,0.0346868009724796
"Endocrine",91502,0.0208847894035104
"Endothelial",128102,0.0599522255702487
"Exocrine epithelial",1534555,0.123884122758715
"Fibroblast / CAF",537017,0.0349523385665631
"Immune",168037,0.00970619565928932
"Mural / pericyte",26724,0.0589357880556803
