pair,gene,excess,expected,resid_z
Ductal/tumor epithelial -> Endothelial,CXCL6,491.22810822247493,54.44247037081004,16.65883755786616
Ductal/tumor epithelial -> Endothelial,PPP1R1B,336.79451746846155,33.26709512989235,13.59915798801785
Ductal/tumor epithelial -> Endothelial,CFB,625.3744148528206,128.55278596456031,13.399439747514661
Ductal/tumor epithelial -> Exocrine epithelial,CFB,13786.199160944714,1253.5383679174795,45.34236286198448
Ductal/tumor epithelial -> Exocrine epithelial,CXCL6,5252.297102521606,530.8770630053484,35.40277901527988
Ductal/tumor epithelial -> Exocrine epithelial,PPP1R1B,6377.532763111164,324.39265957236546,24.453896690075503
Ductal/tumor epithelial -> Fibroblast / CAF,CXCL6,1658.2402925887593,667.5411140298371,20.49750257123767
Ductal/tumor epithelial -> Fibroblast / CAF,C5orf46,515.0792757381586,70.80696301081021,11.576534810176065
Ductal/tumor epithelial -> Fibroblast / CAF,PPP1R1B,693.5809794048214,407.90128721733254,8.872694236537365
Ductal/tumor epithelial -> Immune,CXCL6,1333.924268203757,330.77411121566445,23.601083073995515
Ductal/tumor epithelial -> Immune,CFB,1381.6574726745912,781.0434249604443,11.831724538528244
Ductal/tumor epithelial -> Immune,PPP1R1B,532.7626422213734,202.11966410357755,11.506157421197274
Ductal/tumor epithelial -> Mural / pericyte,CXCL6,71.3895704153098,17.433565017899532,6.0514469036088645
Endocrine -> Ductal/tumor epithelial,FXYD2,425.04362068371495,20.846118012334244,15.626898325429112
Endocrine -> Ductal/tumor epithelial,GCG,867.1330008136308,426.83770577690683,14.789498760441282
Endocrine -> Ductal/tumor epithelial,TM4SF4,140.2249543492146,19.89042205761405,8.183138337756517
Endocrine -> Endothelial,GCG,1230.0382454667226,833.1467489885259,11.278142105473378
Endocrine -> Endothelial,SST,512.0045582678582,388.3587770614022,5.436663650594296
Endocrine -> Endothelial,PPY,64.42603810551991,23.900795346018445,4.947429688170647
Endocrine -> Exocrine epithelial,GCG,1673.8651084265996,1229.129125313161,10.683186542538907
Endocrine -> Exocrine epithelial,FXYD2,236.32419667530849,60.02883637479614,6.027611946374099
Endocrine -> Exocrine epithelial,GHRL,94.62486771487823,43.430605113570266,4.869759486664999
Endocrine -> Fibroblast / CAF,GCG,1154.4596260219282,437.0593606717961,20.99753662641779
Endocrine -> Fibroblast / CAF,TM4SF4,62.198814793378105,20.36674602626758,4.957232477664859
Endocrine -> Immune,GCG,402.45215001910725,190.12753964375392,10.470757545717706
Endocrine -> Immune,SST,134.23878182770326,88.62508180147557,3.867573960244788
Endothelial -> Ductal/tumor epithelial,GNG11,798.9957874420815,135.40667703579916,18.136319877561903
Endothelial -> Ductal/tumor epithelial,TM4SF18,616.2438937458013,34.753825266260876,15.551028592506533
Endothelial -> Ductal/tumor epithelial,CD93,625.9978008688361,362.58343899991974,8.740504157143155
Endothelial -> Exocrine epithelial,APOLD1,847.1668740126743,450.92201574375196,7.134900254302877
Endothelial -> Exocrine epithelial,SOX17,238.71706938004152,103.24527540486723,5.037239739770087
Endothelial -> Exocrine epithelial,STEAP4,317.02313397713965,112.55804523537309,4.963796678066234
Endothelial -> Fibroblast / CAF,STEAP4,523.1327062909129,133.0955219082728,12.032769373076766
Endothelial -> Fibroblast / CAF,EDNRB,509.15866354766865,132.0079180520254,10.82491019506917
Endothelial -> Fibroblast / CAF,TFPI,552.8075934925555,194.00133785812588,6.96585457882136
Endothelial -> Immune,S100A12,107.4567855450481,14.27133734997533,5.467207713830898
Endothelial -> Immune,EDNRB,199.22168654840635,66.30367735323466,5.378097970853854
Endothelial -> Immune,STEAP4,171.85683087129405,66.84994863935813,4.145731850701481
Endothelial -> Mural / pericyte,EDNRB,181.28845303052645,15.831482297202708,8.90716125921591
Endothelial -> Mural / pericyte,APOLD1,353.8453030526471,63.94549286264575,8.796320647351298
Endothelial -> Mural / pericyte,STEAP4,126.27355847220174,15.961916754852165,7.092571324397509
Exocrine epithelial -> Ductal/tumor epithelial,CFTR,110866.73789752314,23561.761758066736,246.00622428231293
Exocrine epithelial -> Ductal/tumor epithelial,PROX1,11709.747480717515,3488.745201572091,72.03435585818427
Exocrine epithelial -> Ductal/tumor epithelial,CA4,1681.0183051677482,402.75813777370473,28.60981446606046
Exocrine epithelial -> Endocrine,AMY2A,3864.7241475890737,2620.1169205399524,15.948052192159903
Exocrine epithelial -> Endocrine,CFTR,686.1133304833645,446.640918179211,7.039338621183406
Exocrine epithelial -> Endothelial,AMY2A,27517.645648165893,22418.480247944935,30.066740360774528
Exocrine epithelial -> Endothelial,CA4,123.83126606620101,65.3251729217962,4.440935610557923
Exocrine epithelial -> Endothelial,CYP2A7,79.45598604346878,25.712627547056425,3.9776374705337596
Exocrine epithelial -> Fibroblast / CAF,CFTR,5032.307055072277,3138.6012404652106,25.312540623902088
Exocrine epithelial -> Fibroblast / CAF,AMY2A,21865.394658982234,18411.8872280998,23.021941546798494
Exocrine epithelial -> Fibroblast / CAF,GPC3,735.7634370287269,187.758052244668,14.683746556191307
Exocrine epithelial -> Immune,AMY2A,27334.71149954239,21942.214178259866,31.541685940019136
Exocrine epithelial -> Immune,CFTR,5610.9974734779635,3740.4020448992974,23.05264822012732
Exocrine epithelial -> Immune,PROX1,709.9098444126481,553.8342090071098,5.082165759761494
