"pair","source","target","excess_pool","excess_B","power_A","power_B","power_strictB","depth_B"
"Ductal/tumor epithelial -> Endothelial","Ductal/tumor epithelial","Endothelial",2645,2125,0.35128741486765,0.621877231501149,0.67913797423969,0.567049808429119
"Ductal/tumor epithelial -> Exocrine epithelial","Ductal/tumor epithelial","Exocrine epithelial",10181,7241,0.746902364672865,0.211616020741007,0.768997866183382,0.306717363751584
"Ductal/tumor epithelial -> Fibroblast / CAF","Ductal/tumor epithelial","Fibroblast / CAF",14309,8002,0.857345913635901,0.921891654810474,0.886932653921104,0.881573821581613
"Ductal/tumor epithelial -> Immune","Ductal/tumor epithelial","Immune",8477,3723,0.432235669272959,0.411923781882044,0.200536136830842,0.416767922235723
"Ductal/tumor epithelial -> Mural / pericyte","Ductal/tumor epithelial","Mural / pericyte",413,198,0.485257293821544,0.562710037132032,0.390538942056795,0.613095238095238
"Endocrine -> Ductal/tumor epithelial","Endocrine","Ductal/tumor epithelial",2113,423,0.201685238941955,0.324659114273684,0.310288438855061,0.253811358686547
"Endocrine -> Endothelial","Endocrine","Endothelial",3678,1622,0.8440186232696,0.559642285494979,0.557059560338716,0.30751708428246
"Endocrine -> Exocrine epithelial","Endocrine","Exocrine epithelial",5162,2084,0.745069322673167,0.315766302072884,0.31341437171934,0.232598250585192
"Endocrine -> Fibroblast / CAF","Endocrine","Fibroblast / CAF",2359,415,0.281843220484041,0.302189709722593,0.2509831902276,0.328042328042328
"Endocrine -> Immune","Endocrine","Immune",946,476,0.173014811177465,0.227256167841103,0.201424193659531,0.285528596187175
"Endothelial -> Ductal/tumor epithelial","Endothelial","Ductal/tumor epithelial",4071,1976,0.851368714556321,0.670002086612413,0.858436786270078,0.31305149479784
"Endothelial -> Endocrine","Endothelial","Endocrine",535,194,0.046604026713237,0.00190610214702935,-0.0103721837568036,0.0428571428571429
"Endothelial -> Exocrine epithelial","Endothelial","Exocrine epithelial",6434,4267,0.304971021107659,0.47853429636827,0.501247842902559,0.472909305064782
"Endothelial -> Fibroblast / CAF","Endothelial","Fibroblast / CAF",7187,3448,0.801679156706425,0.7358020008447,0.695909597633833,0.586344491243627
"Endothelial -> Immune","Endothelial","Immune",2548,1385,0.808861080539009,0.634157370618401,0.625227606468482,0.420051413881748
"Endothelial -> Mural / pericyte","Endothelial","Mural / pericyte",803,443,0.0565789214769922,0.0403467100470064,0.0471787633292609,0.309248554913295
"Exocrine epithelial -> Ductal/tumor epithelial","Exocrine epithelial","Ductal/tumor epithelial",362132,26197,0.36190505886556,0.0681856481773684,NA,0.0093925347645768
"Exocrine epithelial -> Endocrine","Exocrine epithelial","Endocrine",6086,1923,0.0740239736602498,0.806942283972158,0.964899108098843,0.357976653696498
"Exocrine epithelial -> Endothelial","Exocrine epithelial","Endothelial",46048,14758,0.493687481654567,0.750592205733117,0.771455346834127,0.221145374449339
"Exocrine epithelial -> Fibroblast / CAF","Exocrine epithelial","Fibroblast / CAF",38961,9518,0.999542848714795,0.996790129255899,0.999709389566639,0.898993595608417
"Exocrine epithelial -> Immune","Exocrine epithelial","Immune",46804,17470,0.876803605643354,0.0550592783085688,0.0138919010789424,0.108595194085028
"Exocrine epithelial -> Mural / pericyte","Exocrine epithelial","Mural / pericyte",650,169,0.114675709372153,0.29487755581802,0.318111756353662,0.410810810810811
"Fibroblast / CAF -> Ductal/tumor epithelial","Fibroblast / CAF","Ductal/tumor epithelial",24080,12254,0.822841436529792,0.640718645605544,0.934951093139333,0.492850583759675
"Fibroblast / CAF -> Endocrine","Fibroblast / CAF","Endocrine",1548,622,0.0232380612499283,0.0393832597211455,0.0327826007661689,0.0139720558882235
"Fibroblast / CAF -> Endothelial","Fibroblast / CAF","Endothelial",15510,6557,0.646478494926864,0.72942090340614,NA,0.656384947563233
"Fibroblast / CAF -> Exocrine epithelial","Fibroblast / CAF","Exocrine epithelial",12337,6644,0.695609019190899,0.5450541657124,0.59031886904693,0.397521027003099
"Fibroblast / CAF -> Immune","Fibroblast / CAF","Immune",38636,15369,0.402978173617195,0.465257383955085,NA,0.510344827586207
"Fibroblast / CAF -> Mural / pericyte","Fibroblast / CAF","Mural / pericyte",2446,1393,0.0157020086072927,0.035797052630519,NA,0.03886925795053
"Immune -> Ductal/tumor epithelial","Immune","Ductal/tumor epithelial",5909,2230,0.403683262284724,0.379481017191846,0.371204886209365,0.185324553151458
"Immune -> Endocrine","Immune","Endocrine",305,126,0.0559737505661715,0.10969018682707,0.10969018682707,0.0542168674698796
"Immune -> Endothelial","Immune","Endothelial",3000,1361,0.047659655883416,0.0675469154102251,0.144522810003541,0.223564954682779
"Immune -> Exocrine epithelial","Immune","Exocrine epithelial",7844,4199,0.22327444400805,0.314633710671655,0.321799883697721,0.214926679798643
"Immune -> Fibroblast / CAF","Immune","Fibroblast / CAF",32837,15908,0.0455825076131268,0.0222863775747347,NA,0.159452296819788
"Immune -> Mural / pericyte","Immune","Mural / pericyte",1130,536,0.0968824098865885,0.123064799664654,0.121462493697159,0.214285714285714
