"cell_type","own_marker_molecules","false_removal"
"Ductal/tumor epithelial",864594,0.0236319012160621
"Endocrine",91502,0.000153002120172219
"Endothelial",128102,0.0495620677272798
"Exocrine epithelial",1534555,0.11927431731023
"Fibroblast / CAF",537017,0.0297215916814552
"Immune",168037,0.0167879693162816
"Mural / pericyte",26724,0.0094297260889088
