target,source,gene,retained_molecules,log_fold_per_neighbor,z,dispersion,owner
Ductal/tumor epithelial,Endocrine,LAMP3,2459.0,-0.06721049627748787,-0.6236440503201178,1.2521928590645586,Ductal/tumor epithelial
Ductal/tumor epithelial,Endothelial,LAMP3,2459.0,0.004263756150576447,0.11310847203397728,1.2521928590645586,Ductal/tumor epithelial
Ductal/tumor epithelial,Exocrine epithelial,LAMP3,2459.0,0.0061126415040452286,0.3890385389940425,1.2521928590645586,Ductal/tumor epithelial
Ductal/tumor epithelial,Fibroblast / CAF,LAMP3,2459.0,-0.04260351600197929,-2.5546324300406784,1.2521928590645586,Ductal/tumor epithelial
Ductal/tumor epithelial,Immune,LAMP3,2459.0,0.038199454703801004,1.840636569048277,1.2521928590645586,Ductal/tumor epithelial
Ductal/tumor epithelial,Mural / pericyte,LAMP3,2459.0,-0.023763765435752822,-0.2758989293414768,1.2521928590645586,Ductal/tumor epithelial
Ductal/tumor epithelial,Endocrine,HES4,736.3537575433882,-0.07413747263965792,-0.38239005979169616,1.0,Mural / pericyte
Ductal/tumor epithelial,Endothelial,HES4,736.3537575433882,-0.04836955763786858,-0.7232334592980703,1.0,Mural / pericyte
Ductal/tumor epithelial,Exocrine epithelial,HES4,736.3537575433882,-0.07615362235586381,-2.6058665146029307,1.0,Mural / pericyte
Ductal/tumor epithelial,Fibroblast / CAF,HES4,736.3537575433882,0.1063477623493788,4.231553531304957,1.0,Mural / pericyte
Ductal/tumor epithelial,Immune,HES4,736.3537575433882,0.029994952998918443,0.8938477421967542,1.0,Mural / pericyte
Ductal/tumor epithelial,Mural / pericyte,HES4,736.3537575433882,0.172286216760015,1.4585628389073537,1.0,Mural / pericyte
Ductal/tumor epithelial,Endocrine,FBLN1,2400.4107716273616,-0.10924420645358109,-0.82505404296394,1.0,Fibroblast / CAF
Ductal/tumor epithelial,Endothelial,FBLN1,2400.4107716273616,0.009835775022095549,0.23931184378624973,1.0,Fibroblast / CAF
Ductal/tumor epithelial,Exocrine epithelial,FBLN1,2400.4107716273616,-0.2387646344663432,-12.750260447105953,1.0,Fibroblast / CAF
Ductal/tumor epithelial,Fibroblast / CAF,FBLN1,2400.4107716273616,-0.19208616938086134,-11.795523425506317,1.0,Fibroblast / CAF
Ductal/tumor epithelial,Immune,FBLN1,2400.4107716273616,-0.043159088439407085,-2.0426884121841606,1.0,Fibroblast / CAF
Ductal/tumor epithelial,Mural / pericyte,FBLN1,2400.4107716273616,-0.04552514963992967,-0.5405480201039102,1.0,Fibroblast / CAF
Ductal/tumor epithelial,Endocrine,SOX2,659.0893028252132,-1.03937576410249,-1.505344863485955,1.0535605462958895,Immune
Ductal/tumor epithelial,Endothelial,SOX2,659.0893028252132,-0.05063541430575577,-0.6318442363308588,1.0535605462958895,Immune
Ductal/tumor epithelial,Exocrine epithelial,SOX2,659.0893028252132,-0.16100963312039895,-4.715032618400068,1.0535605462958895,Immune
Ductal/tumor epithelial,Fibroblast / CAF,SOX2,659.0893028252132,-0.0867049802802391,-2.9156934548506572,1.0535605462958895,Immune
Ductal/tumor epithelial,Immune,SOX2,659.0893028252132,-0.03947283702991782,-0.9851133750054147,1.0535605462958895,Immune
Ductal/tumor epithelial,Mural / pericyte,SOX2,659.0893028252132,0.24134674326987046,1.7936128358323347,1.0535605462958895,Immune
Ductal/tumor epithelial,Endocrine,PGR,341.93902958213243,-0.02166618258318571,-0.08526608403899372,1.0,Endocrine
Ductal/tumor epithelial,Endothelial,PGR,341.93902958213243,-0.0840969293430721,-0.8344909227143619,1.0,Endocrine
Ductal/tumor epithelial,Exocrine epithelial,PGR,341.93902958213243,-0.03471643447778831,-0.8712809378380657,1.0,Endocrine
Ductal/tumor epithelial,Fibroblast / CAF,PGR,341.93902958213243,-0.014106712599521953,-0.36147936272394465,1.0,Endocrine
Ductal/tumor epithelial,Immune,PGR,341.93902958213243,0.037313367616581404,0.7479595366575541,1.0,Endocrine
Ductal/tumor epithelial,Mural / pericyte,PGR,341.93902958213243,0.05478669026601452,0.28086355114648015,1.0,Endocrine
Ductal/tumor epithelial,Endocrine,CLEC10A,360.66603031882323,-0.03594491906628814,-0.15469616434048525,1.0,Immune
Ductal/tumor epithelial,Endothelial,CLEC10A,360.66603031882323,0.08183430526167039,1.0307915566094898,1.0,Immune
Ductal/tumor epithelial,Exocrine epithelial,CLEC10A,360.66603031882323,0.0417362534710012,1.162487583587059,1.0,Immune
Ductal/tumor epithelial,Fibroblast / CAF,CLEC10A,360.66603031882323,0.05152200251041444,1.3765228617479692,1.0,Immune
Ductal/tumor epithelial,Immune,CLEC10A,360.66603031882323,0.013773935328827154,0.2847096693607752,1.0,Immune
Ductal/tumor epithelial,Mural / pericyte,CLEC10A,360.66603031882323,-0.06358390180095241,-0.31809568299111396,1.0,Immune
Ductal/tumor epithelial,Endocrine,APCDD1,5324.026296299718,0.15289724260267487,3.122835541496303,1.5403935976764669,Fibroblast / CAF
Ductal/tumor epithelial,Endothelial,APCDD1,5324.026296299718,0.2309488261349962,11.70451049774559,1.5403935976764669,Fibroblast / CAF
Ductal/tumor epithelial,Exocrine epithelial,APCDD1,5324.026296299718,0.20967753833582606,19.896740390199845,1.5403935976764669,Fibroblast / CAF
Ductal/tumor epithelial,Fibroblast / CAF,APCDD1,5324.026296299718,0.15573300901910092,12.86408717827436,1.5403935976764669,Fibroblast / CAF
Ductal/tumor epithelial,Immune,APCDD1,5324.026296299718,0.1872220105330293,13.849175731730663,1.5403935976764669,Fibroblast / CAF
Ductal/tumor epithelial,Mural / pericyte,APCDD1,5324.026296299718,0.36095992808748184,7.616778557249802,1.5403935976764669,Fibroblast / CAF
Ductal/tumor epithelial,Endocrine,MCF2L,2979.0624970157587,0.07214646862687313,1.1290644853363954,1.0652799700579734,Endothelial
Ductal/tumor epithelial,Endothelial,MCF2L,2979.0624970157587,0.05640610282668893,2.0798547774353455,1.0652799700579734,Endothelial
Ductal/tumor epithelial,Exocrine epithelial,MCF2L,2979.0624970157587,0.16199756838204135,13.777473422340146,1.0652799700579734,Endothelial
Ductal/tumor epithelial,Fibroblast / CAF,MCF2L,2979.0624970157587,0.031374412927877966,2.2574502823151206,1.0652799700579734,Endothelial
Ductal/tumor epithelial,Immune,MCF2L,2979.0624970157587,0.0352416297950924,2.078474107734448,1.0652799700579734,Endothelial
Ductal/tumor epithelial,Mural / pericyte,MCF2L,2979.0624970157587,-0.004363228546321685,-0.06138718651162937,1.0652799700579734,Endothelial
Ductal/tumor epithelial,Endocrine,MMRN2,2802.4650527569947,-0.1561247637037728,-1.318181704564546,1.0,Endothelial
Ductal/tumor epithelial,Endothelial,MMRN2,2802.4650527569947,-0.128449496853422,-3.2502352737260773,1.0,Endothelial
Ductal/tumor epithelial,Exocrine epithelial,MMRN2,2802.4650527569947,-0.11741308816993357,-7.585306572920455,1.0,Endothelial
Ductal/tumor epithelial,Fibroblast / CAF,MMRN2,2802.4650527569947,-0.028606553925405603,-2.0967351688378035,1.0,Endothelial
Ductal/tumor epithelial,Immune,MMRN2,2802.4650527569947,-0.02607089515046294,-1.4029560639896326,1.0,Endothelial
Ductal/tumor epithelial,Mural / pericyte,MMRN2,2802.4650527569947,0.013216267310534649,0.18543043823740335,1.0,Endothelial
Ductal/tumor epithelial,Endocrine,VCAN,28108.11014649531,-0.6782970223675291,-4.589034055807817,1.7979623989928228,Fibroblast / CAF
Ductal/tumor epithelial,Endothelial,VCAN,28108.11014649531,-0.2526202569792909,-10.266949797705506,1.7979623989928228,Fibroblast / CAF
Ductal/tumor epithelial,Exocrine epithelial,VCAN,28108.11014649531,-0.7033581625460295,-41.90673544339467,1.7979623989928228,Fibroblast / CAF
Ductal/tumor epithelial,Fibroblast / CAF,VCAN,28108.11014649531,0.0008792391074093793,0.15736763677276372,1.7979623989928228,Fibroblast / CAF
Ductal/tumor epithelial,Immune,VCAN,28108.11014649531,-0.10713875920633567,-12.21977096136524,1.7979623989928228,Fibroblast / CAF
Ductal/tumor epithelial,Mural / pericyte,VCAN,28108.11014649531,-0.0165400400000217,-0.5340530334770955,1.7979623989928228,Fibroblast / CAF
Ductal/tumor epithelial,Endocrine,FGL2,696.7761277431339,0.09498249349112697,0.8776645278979582,1.0,Immune
Ductal/tumor epithelial,Endothelial,FGL2,696.7761277431339,0.1464459877297554,3.2201337900312437,1.0,Immune
Ductal/tumor epithelial,Exocrine epithelial,FGL2,696.7761277431339,0.3402506902225342,15.184489606761993,1.0,Immune
Ductal/tumor epithelial,Fibroblast / CAF,FGL2,696.7761277431339,0.08098772298675037,2.8254914774969757,1.0,Immune
Ductal/tumor epithelial,Immune,FGL2,696.7761277431339,0.0027520376148858047,0.08125413096474576,1.0,Immune
Ductal/tumor epithelial,Mural / pericyte,FGL2,696.7761277431339,0.28930903400055735,2.3524390855854005,1.0,Immune
Ductal/tumor epithelial,Endocrine,PDPN,1629.704053071755,0.13505347057181175,1.6211314486686543,1.0,Fibroblast / CAF
Ductal/tumor epithelial,Endothelial,PDPN,1629.704053071755,0.0921151255465329,2.5260230879153274,1.0,Fibroblast / CAF
Ductal/tumor epithelial,Exocrine epithelial,PDPN,1629.704053071755,0.04053295809982817,2.4334906102121163,1.0,Fibroblast / CAF
Ductal/tumor epithelial,Fibroblast / CAF,PDPN,1629.704053071755,-0.004181280450522578,-0.23191306555843857,1.0,Fibroblast / CAF
Ductal/tumor epithelial,Immune,PDPN,1629.704053071755,0.07867433562703466,3.6168827985844403,1.0,Fibroblast / CAF
Ductal/tumor epithelial,Mural / pericyte,PDPN,1629.704053071755,0.17966527964999496,2.2039050906396804,1.0,Fibroblast / CAF
Ductal/tumor epithelial,Endocrine,CSF2RA,752.9528248164336,-0.03917430772392784,-0.25530441180373825,1.0195342197928596,Immune
