cls,gene,n,removal_prob
induction,DIRAS3,2,0.03782694497882644
ambient,KCNK3,1,0.9710789276728085
ambient,HAMP,1,0.9023517273435725
ambient,PROX1,1,0.34276059480162924
ambient,AQP8,1,0.9998133687028595
ambient,CA4,1,0.060523893713840926
ambient,AQP8,1,0.9998129860696487
ambient,KLK11,1,0.9968934245433472
ambient,HAMP,1,0.9517233188401333
induction,CA4,3,0.01615699337658194
induction,PROX1,5,0.11223935348714864
induction,DIRAS3,2,0.02136224309271162
induction,CA4,2,0.015093723763255018
induction,PROX1,4,0.1039015903016497
induction,DIRAS3,4,0.019989681962268357
outplane,IRF8,1,0.607748260219733
outplane,PRDM1,1,0.2613345529675214
outplane,GHRL,1,0.9691174536418103
outplane,AMY2A,3,0.9999627879820494
outplane,AMY2A,3,0.9999807721741315
outplane,GATM,1,0.999959386781871
outplane,CFTR,1,0.9998606017887297
outplane,AMY2A,2,0.9999762578354804
outplane,GATM,1,0.9999494477417625
outplane,MDM2,1,0.9263351548480713
outplane,CFTR,1,0.9998827112189325
outplane,C1orf162,1,0.8472854298892364
outplane,AMY2A,3,0.9999781549114688
inplane,PMP22,1,0.31601455327266315
inplane,AMY2A,2,0.9999819075291924
inplane,GATM,1,0.9999619249478052
ambient,CFTR,1,0.9998458804192266
ambient,PEBP4,1,0.6322840061136228
induction,CA4,1,0.027128548736772506
induction,PROX1,5,0.1818901518931526
induction,DIRAS3,4,0.036958714071561816
ambient,KLK11,1,0.9969497464201084
ambient,AQP3,1,0.8636594044572036
inplane,CRISPLD2,1,7.383538225269604e-12
inplane,AMY2A,2,0.9999793755475732
inplane,GATM,1,0.999956477718479
outplane,MS4A6A,1,0.6030863044828368
outplane,ADAM28,1,0.7749403029855431
outplane,AMY2A,2,0.9999801348963044
outplane,GATM,1,0.9999580045502446
outplane,CRHBP,1,0.1418664533343139
outplane,GATM,3,0.9999444437937216
outplane,AQP8,1,0.9997703955907924
induction,CA4,3,0.018543907291141193
induction,PROX1,3,0.11868260911091111
induction,DIRAS3,2,0.023219605323713366
induction,CA4,5,0.019178486971068165
induction,PROX1,1,0.13310983575417812
induction,DIRAS3,4,0.0255781956407215
inplane,FBN1,1,0.016011426447157695
inplane,MDM2,1,0.7230261881983127
inplane,CYP2A7,1,0.6299198642773879
inplane,AMY2A,4,0.9999711706677519
ambient,CA4,1,0.0555969590783435
ambient,GLYATL1,1,0.46512038256387844
ambient,PROX1,1,0.2617313621289986
ambient,DIRAS3,1,0.058853122582157136
ambient,UMOD,1,0.9380927844031639
ambient,GATM,1,0.999953672442388
ambient,FKBP11,1,0.9793501089730523
ambient,CPA3,1,0.9408167642107496
inplane,ECSCR,1,0.0
inplane,AMY2A,1,0.9999342271585429
inplane,KCNK3,1,0.9691691035330651
inplane,HAMP,1,0.6932932167160295
inplane,GATM,1,0.9998215726995123
induction,CA4,3,0.022467892960322144
induction,PROX1,2,0.15374443064999987
induction,DIRAS3,5,0.030298624798873908
ambient,FKBP11,1,0.9434061144260312
ambient,RIDA,1,0.8798613075897973
ambient,CA4,1,0.070841405018924
ambient,GLYATL1,1,0.5235447237631237
ambient,CPA3,1,0.8536572614190389
ambient,DIRAS3,1,0.06235336806920999
inplane,MMRN2,1,0.0
inplane,TCIM,1,0.0
inplane,CFTR,1,0.99987979946262
inplane,GATM,1,0.9999557786419654
outplane,CFTR,1,0.9998763578431957
outplane,SNCA,1,0.40553720422646
outplane,FXYD2,1,0.9774737526922007
outplane,PROX1,1,0.35574043983029957
ambient,CA4,1,0.0662455844794535
ambient,DIRAS3,1,0.0886058314914927
outplane,AMY2A,4,0.9999773107391414
outplane,TCIM,1,0.0
outplane,CLEC14A,1,0.0
outplane,BAMBI,1,0.7833276823748935
outplane,AMY2A,1,0.9999781111862905
inplane,MMRN2,2,0.0
inplane,AMY2A,4,0.9999775136744773
induction,CA4,4,0.020911344294755052
induction,PROX1,3,0.14398204501388312
