cls,gene,n,removal_prob
inplane,PPP1R1B,1,0.967579158487577
inplane,AMY2A,2,0.9999736609702524
inplane,GATM,1,0.9999435642845783
inplane,FKBP11,1,0.4348747702894842
inplane,RIDA,1,0.9241169184310518
inplane,AMY2A,2,0.9999788318311069
ambient,FKBP11,1,0.43187794265046653
ambient,DIRAS3,1,0.9526073855493122
induction,FKBP11,3,0.13583057009806088
induction,AQP3,7,0.030290747634856285
outplane,CLEC10A,1,0.38630487038198413
outplane,CFB,1,0.9195028554896247
outplane,AMY2A,3,0.9999722584365491
induction,FKBP11,4,0.11375360832021386
induction,AQP3,2,0.015344972547937319
induction,PEBP4,4,0.004015661240993396
inplane,AMY2A,3,0.9999786008238373
inplane,GATM,2,0.9999546779183237
inplane,FGL2,1,0.7754908800861243
inplane,CXCR4,1,0.45154875389727056
inplane,ANPEP,1,0.9997401886738093
inplane,GATM,1,0.9999610938981374
outplane,CYP2A7,1,0.8025690854239786
outplane,CFTR,2,0.9998824377113866
outplane,AMY2A,1,0.9999804238711034
inplane,CFB,1,0.8115616482540515
inplane,MDM2,1,0.5622056733343659
inplane,EPCAM,1,0.9993283811938747
inplane,AMY2A,1,0.999979790114515
induction,FKBP11,4,0.14212923148209178
induction,AQP3,3,0.020361012757011854
induction,PEBP4,3,0.00513873571867185
inplane,DST,1,0.6447642055094858
inplane,CFTR,1,0.9998644877684032
inplane,PROX1,1,0.9313716883203564
inplane,GATM,1,0.9999507218205391
ambient,FKBP11,2,0.3956669946787173
ambient,KCNK3,1,0.9860031134783664
ambient,GLYATL1,1,0.76319943784737
inplane,AMY2A,3,0.9999813993730075
inplane,GATM,1,0.9999607686122484
inplane,CFTR,1,0.9998830681636046
inplane,AMY2A,2,0.9999782065469355
inplane,AQP8,1,0.9998100927142011
induction,FKBP11,3,0.14587024325569997
induction,AQP3,6,0.026718702944197203
induction,PEBP4,1,0.005001001187756815
induction,FKBP11,3,0.16188390784526785
induction,AQP3,4,0.03311909926534118
induction,PEBP4,3,0.006657408535048148
outplane,AMY2A,4,0.9999806085376183
outplane,APOA5,1,0.4940668223020461
outplane,GATM,2,0.9999590693046801
outplane,INS,1,0.9975210702622569
induction,FKBP11,3,0.18941631363804123
induction,AQP3,3,0.030891730113776328
induction,PEBP4,4,0.007186429732236821
induction,FKBP11,2,0.17533962811248416
induction,AQP3,3,0.026103173490119147
induction,PEBP4,5,0.006606493313819239
inplane,GPRC5A,1,0.9894827959069833
inplane,SLC4A1,1,0.2727705022846797
inplane,AMY2A,2,0.9999813276775554
ambient,CFTR,1,0.9998855806469689
ambient,UMOD,1,0.9240343523097345
outplane,TMC5,1,0.9932052533440768
outplane,CFTR,2,0.9998867620941909
outplane,AMY2A,1,0.9999805257247577
ambient,GATM,1,0.999961672536089
ambient,AQP3,1,0.07498861676819324
induction,FKBP11,8,0.16272639922711507
induction,AQP3,1,0.02830754899744692
induction,PEBP4,1,0.00583328670277572
induction,FKBP11,2,0.13143528921471492
induction,AQP3,4,0.019288988726234413
induction,PEBP4,4,0.004432930877583341
induction,FKBP11,1,0.17875965870546773
induction,AQP3,4,0.026618283959729427
induction,PEBP4,5,0.0067466910171226635
inplane,VWA5A,1,0.8742372534775464
inplane,CFTR,2,0.9998891668063544
inplane,AMY2A,1,0.9999810852288863
inplane,AQP8,1,0.9998366719905425
inplane,CFB,1,0.9543353565418955
