cls,mean,count,retention
ambient,0.7976232829075695,800,0.20237671709243055
induction,0.6192844455146844,30000,0.3807155544853156
inplane,0.8023849362980394,1928,0.19761506370196058
outplane,0.8203160031178125,1898,0.1796839968821875
