cls,gene,n,removal_prob
inplane,PPP1R1B,1,0.9709736344027262
inplane,AMY2A,2,0.9999790999295676
inplane,GATM,1,0.9999583732558565
inplane,FKBP11,1,0.9742094778546074
inplane,RIDA,1,0.933619765500657
inplane,AMY2A,2,0.9999818238561887
ambient,COCH,2,0.8673282675699416
induction,AMY2A,21,0.9999773138157471
induction,GATM,32,0.9999549189213974
induction,AQP8,27,0.2780710391383667
outplane,CLEC10A,1,0.5569182159406265
outplane,CFB,1,0.9195071678325557
outplane,AMY2A,3,0.9999775131723968
induction,AMY2A,17,0.9999828354021059
induction,GATM,35,0.9999657498503829
induction,AQP8,28,0.2586513641615312
inplane,AMY2A,3,0.9999813470102926
inplane,GATM,2,0.9999627990546084
inplane,FGL2,1,0.7880509868829428
inplane,CXCR4,1,0.4285477127521342
inplane,ANPEP,1,0.9997495758802999
inplane,GATM,1,0.9999658380486146
outplane,CYP2A7,1,0.840934473522996
outplane,CFTR,2,0.9998943118880794
outplane,AMY2A,1,0.9999831524582673
inplane,CFB,1,0.8321471950371799
inplane,MDM2,1,0.5953830361383216
inplane,EPCAM,1,0.999383396090027
inplane,AMY2A,1,0.9999823453172629
induction,AMY2A,28,0.9999832749308531
induction,GATM,29,0.9999666239615587
induction,AQP8,23,0.3009863485254183
inplane,DST,1,0.678638410478551
inplane,CFTR,1,0.9998822789769525
inplane,PROX1,1,0.9487106004777259
inplane,GATM,1,0.9999621151613125
ambient,COCH,1,0.8922603955430086
ambient,GATM,1,0.9999655001421223
ambient,FKBP11,1,0.9770613451324242
ambient,CA4,1,0.95342796028155
inplane,AMY2A,3,0.9999833075275629
inplane,GATM,1,0.9999666798840827
inplane,CFTR,1,0.9998927315896566
inplane,AMY2A,2,0.9999813294506154
inplane,AQP8,1,0.7016755116290181
induction,AMY2A,11,0.9999792920860222
induction,GATM,35,0.999958752679286
induction,AQP8,34,0.23490890064792824
induction,AMY2A,25,0.9999784905173182
induction,GATM,29,0.999956326207362
induction,AQP8,26,0.4158724852789756
outplane,AMY2A,4,0.9999826823875907
outplane,APOA5,1,0.5300697177775527
outplane,GATM,2,0.9999654387745018
outplane,INS,1,0.9972570663385617
induction,AMY2A,29,0.9999801275254911
induction,GATM,28,0.9999603861090425
induction,AQP8,23,0.28552737582391763
induction,AMY2A,22,0.9999829514246132
induction,GATM,30,0.9999659721441662
induction,AQP8,28,0.3415874524306929
inplane,GPRC5A,1,0.9881700386210834
inplane,SLC4A1,1,0.2935370286925717
inplane,AMY2A,2,0.9999832279835437
ambient,AMY2A,1,0.9999825034871289
ambient,GATM,1,0.999965073785381
outplane,TMC5,1,0.9920244209948329
outplane,CFTR,2,0.9998942733526097
outplane,AMY2A,1,0.9999827090442919
ambient,AMY2A,1,0.9999831612358552
ambient,COCH,1,0.9107651097832492
induction,AMY2A,28,0.9999815928527214
induction,GATM,25,0.999963270083591
induction,AQP8,27,0.29191630660514944
induction,AMY2A,27,0.9999768042873778
induction,GATM,28,0.999953878522331
induction,AQP8,25,0.31986521595440487
induction,AMY2A,30,0.999983586843902
induction,GATM,30,0.9999672429160268
induction,AQP8,20,0.4553830588070996
inplane,VWA5A,1,0.8869945631897153
inplane,CFTR,2,0.9998950222464859
inplane,AMY2A,1,0.9999829580670065
inplane,AQP8,1,0.7119226695513687
inplane,CFB,1,0.9532421212223225
inplane,MYC,1,0.883214170360023
inplane,AMY2A,3,0.9999801949529841
inplane,GATM,1,0.9999605796775956
ambient,CA4,1,0.9491319534276295
ambient,AQP3,1,0.9531559964239004
ambient,KCNK3,1,0.9867356455882225
ambient,PROX1,1,0.9540056848476979
inplane,CFTR,1,0.9998833127853655
inplane,EDNRB,1,0.0
inplane,GATM,2,0.9999620464365191
induction,AMY2A,29,0.9999831319220507
induction,GATM,26,0.9999663290128609
induction,AQP8,25,0.3129295518804829
inplane,CFTR,1,0.9998717692254863
inplane,AMY2A,2,0.9999793520580104
inplane,GATM,1,0.9999588441005604
outplane,MYC,1,0.8981685764252128
outplane,AMY2A,1,0.9999804253509237
outplane,GATM,1,0.9999610284222319
outplane,AQP8,1,0.686668201476571
outplane,PMP22,1,0.26992421393671484
outplane,CFTR,1,0.999883553196773
outplane,AMY2A,1,0.9999812487296331
outplane,ELF5,1,0.37128636372713664
ambient,GATM,1,0.9999621829904253
ambient,PEBP4,1,0.8853307612389315
outplane,APCDD1,1,0.3809710359477607
outplane,DST,2,0.657649717798329
outplane,PROX1,1,0.9548034138702578
inplane,GHRL,1,0.9629649270168305
inplane,EHF,1,0.9987226795302958
inplane,PLCG2,1,0.0
inplane,AMY2A,1,0.9999799839230861
induction,AMY2A,31,0.9999826418984431
induction,GATM,26,0.999965371064633
induction,AQP8,23,0.2956555641241224
ambient,UMOD,2,0.9127932389992591
outplane,CFTR,1,0.9998827965711526
outplane,AMY2A,3,0.9999804544227062
outplane,AQP8,1,0.6833911468109983
outplane,CD163,1,0.9908935376799709
outplane,CFTR,2,0.9998888166120147
outplane,AMY2A,3,0.9999817317875193
inplane,AMY2A,2,0.9999816887614822
inplane,GATM,2,0.9999635193773492
outplane,ANPEP,2,0.9997400544593974
outplane,GATM,2,0.9999643810780021
outplane,PECAM1,1,0.0
outplane,TBX3,1,0.017500987914822574
