"tag","n_pairs","power_B_weighted","power_B_median","false_removal_pooled","worst_false_removal"
"gm_validation",29,0.863185176542796,0.873823032861786,0,0
"gm_production",29,0.943257920434178,0.930621665460475,0,0
"gm_production_noind",29,0.96840515794616,0.943343728338373,0,0
"gm_shuffled",29,0.00827694075241052,0.00755832732175099,0,0
