cls,mean,count,retention
ambient,0.7822050642847438,800,0.2177949357152562
induction,0.8977164214317335,3750,0.10228357856826653
inplane,0.8093377279260356,1928,0.19066227207396436
outplane,0.8297822881543279,1898,0.17021771184567214
