cls,gene,n,removal_prob
inplane,PPP1R1B,1,0.9675876078285225
inplane,AMY2A,2,0.9999736609808092
inplane,GATM,1,0.9999435643086777
inplane,FKBP11,1,0.9692535296703488
inplane,RIDA,1,0.1705124780658629
inplane,AMY2A,2,0.99997881460601
ambient,FKBP11,1,0.9511557758411134
ambient,DIRAS3,1,0.9526585162354578
induction,RIDA,7,0.05126834786459544
induction,HAMP,3,0.01968462043632524
outplane,CLEC10A,1,0.38710410279700724
outplane,CFB,1,0.9195354237110989
outplane,AMY2A,3,0.99997225851636
induction,RIDA,2,0.03624871684479347
induction,HAMP,4,0.01909057836825001
induction,GLYATL1,4,0.0022816470586739523
inplane,AMY2A,3,0.9999784468360061
inplane,GATM,2,0.9999543319190616
inplane,FGL2,1,0.7757305287396759
inplane,CXCR4,1,0.4514822497218972
inplane,ANPEP,1,0.9997410572032916
inplane,GATM,1,0.9999612233111772
outplane,CYP2A7,1,0.8027991202963288
outplane,CFTR,2,0.9998826959089888
outplane,AMY2A,1,0.9999804661414076
inplane,CFB,1,0.8116243861570483
inplane,MDM2,1,0.5622019335144415
inplane,EPCAM,1,0.9993283813181769
inplane,AMY2A,1,0.9999797901183587
induction,RIDA,3,0.04307971738561578
induction,HAMP,4,0.021737707202759804
induction,GLYATL1,3,0.002733485632540056
inplane,DST,1,0.6447562491097205
inplane,CFTR,1,0.9998644879028201
inplane,PROX1,1,0.9313756757353097
inplane,GATM,1,0.9999507218569971
ambient,FKBP11,2,0.9649892707310586
ambient,KCNK3,1,0.9861048210465302
ambient,GLYATL1,1,0.009998465949531021
inplane,AMY2A,3,0.9999813993824406
inplane,GATM,1,0.9999607686333081
inplane,CFTR,1,0.9998830681294256
inplane,AMY2A,2,0.999978206539009
inplane,AQP8,1,0.9998100926380107
induction,RIDA,6,0.042758886114625194
induction,HAMP,3,0.01934237869741462
induction,GLYATL1,1,0.0027065646583248615
induction,RIDA,4,0.0635828316328445
induction,HAMP,3,0.027368767990832432
induction,GLYATL1,3,0.0035236359682674356
outplane,AMY2A,4,0.9999807377283544
outplane,APOA5,1,0.49292282453110503
outplane,GATM,2,0.9999593564615912
outplane,INS,1,0.9975181498047688
induction,RIDA,3,0.06162630989809337
induction,HAMP,3,0.031114532063440614
induction,GLYATL1,4,0.004001955509736588
induction,RIDA,3,0.06349161350199295
induction,HAMP,2,0.03244362358241315
induction,GLYATL1,5,0.004124429740117175
inplane,GPRC5A,1,0.989471462388767
inplane,SLC4A1,1,0.2734799254702167
inplane,AMY2A,2,0.9999813918684665
ambient,CFTR,1,0.9998855806942536
ambient,UMOD,1,0.9241290103350238
outplane,TMC5,1,0.9932189699067753
outplane,CFTR,2,0.999887146506451
outplane,AMY2A,1,0.9999805897681678
ambient,GATM,1,0.9999618773284219
ambient,AQP3,1,0.9437892858193215
induction,RIDA,1,0.05028283784376941
induction,HAMP,8,0.02309727331055922
induction,GLYATL1,1,0.003228009242201235
induction,RIDA,4,0.04074763582267271
induction,HAMP,2,0.020535148555692606
induction,GLYATL1,4,0.0026341792741134684
induction,RIDA,4,0.06469851670241678
induction,HAMP,1,0.03373719381259699
induction,GLYATL1,5,0.00419245454933026
inplane,VWA5A,1,0.8742719014256303
inplane,CFTR,2,0.9998891668520863
inplane,AMY2A,1,0.9999810852349474
inplane,AQP8,1,0.9998366720484139
inplane,CFB,1,0.9543532006404547
inplane,MYC,1,0.8625494564685194
inplane,AMY2A,3,0.9999771795194179
inplane,GATM,1,0.9999510022544179
ambient,KLK11,1,0.9956777747493295
ambient,COCH,1,0.8773649486231857
ambient,AMY2A,1,0.9999792160095063
ambient,GLYATL1,1,0.017974313491251448
inplane,CFTR,1,0.9998721245076562
inplane,EDNRB,1,0.0
inplane,GATM,2,0.9999532755545975
induction,RIDA,2,0.06644029480824143
induction,HAMP,4,0.03260961701862708
