rank,mass,gene,planted,preexisting_excess,planted_to_proportional,retention_count,retention_molecule,inplane_removal,outplane_removal,ambient_removal
0,1.0,AQP8,1277,1910.488716488135,0.6684153583211863,0.00022641095549980061,0.2450787554350844,0.8256713763446327,0.8461437323596388,0.8510510719771528
0,1.0,GATM,1238,10092.378121551343,0.12266682689547324,5.777365614922925e-05,0.04021767478563687,0.8256713763446327,0.8461437323596388,0.8510510719771528
0,1.0,AMY2A,1235,27517.645648165893,0.044880293023262886,2.76102121041788e-05,0.01684888061196621,0.8256713763446327,0.8461437323596388,0.8510510719771528
9,1.0,CA4,1277,123.83126606620101,10.312419799675693,0.9833932459808271,0.9810884478736979,0.8167213232665556,0.8356652064345594,0.7489850329976773
9,1.0,DIRAS3,1238,40.72799302173439,30.39678383708582,0.9776504342867028,0.9742888975336894,0.8167213232665556,0.8356652064345594,0.7489850329976773
9,1.0,PROX1,1235,481.41085199600866,2.5653763202044297,0.8837472152798136,0.8698870619322163,0.8167213232665556,0.8356652064345594,0.7489850329976773
3,1.0,KLK11,1277,129.4836347776669,9.862250176964098,0.8087569144853782,0.8284222312957177,0.8245637639523365,0.8447487673860817,0.8147843040084704
3,1.0,ANPEP,1238,1195.7105077084725,1.0353676680257444,0.0003431301375061979,0.34600502165947533,0.8245637639523365,0.8447487673860817,0.8147843040084704
3,1.0,CFTR,1235,3501.103874391219,0.35274588938460016,0.0001498886955341172,0.17124764067695897,0.8245637639523365,0.8447487673860817,0.8147843040084704
6,1.0,DPEP1,1277,125.6952625770682,10.15949188392861,0.9492523765405666,0.9440415867331079,0.819654230217002,0.8393932029839196,0.734083466542226
6,1.0,KCNK3,1238,203.49379819860303,6.083723489163803,0.925207595755419,0.9166899715402708,0.819654230217002,0.8393932029839196,0.734083466542226
6,1.0,UMOD,1235,18.863996510867196,65.46862958167637,0.9902398777464874,0.9883575513116257,0.819654230217002,0.8393932029839196,0.734083466542226
12,1.0,FKBP11,1277,361.8290258843432,3.5292912084067756,0.8680503463853764,0.8619966885094974,0.8206513050717603,0.8403083451722746,0.7589930055494593
12,1.0,PEBP4,1238,15.27708868873367,81.03638233853958,0.9954023733370526,0.9946169822871461,0.8206513050717603,0.8403083451722746,0.7589930055494593
12,1.0,AQP3,1235,74.90180866600144,16.48825338126417,0.9786406858958391,0.9752608138970731,0.8206513050717603,0.8403083451722746,0.7589930055494593
15,1.0,HAMP,1277,78.28217039920173,16.312782252815797,0.9789289229777419,0.9763501319370831,0.8234005997484735,0.8431664732196815,0.7678412869426577
15,1.0,GLYATL1,1238,11.380361733200289,108.7838883353192,0.9973213382221966,0.9968741431402289,0.8234005997484735,0.8431664732196815,0.7678412869426577
15,1.0,RIDA,1235,49.25960337547167,25.071253428218952,0.9569648152555743,0.9503408235406402,0.8234005997484735,0.8431664732196815,0.7678412869426577
0,3.0,AQP8,3762,1910.488716488135,1.9691296617104954,0.00017300230393935134,0.5994913822651315,0.8288072074325563,0.8491514081447727,0.8545253089039494
0,3.0,GATM,3779,10092.378121551343,0.374440984521804,5.001335746745994e-05,0.14887722282625215,0.8288072074325563,0.8491514081447727,0.8545253089039494
0,3.0,AMY2A,3709,27517.645648165893,0.13478624034273848,2.3811294158515572e-05,0.03368354799142259,0.8288072074325563,0.8491514081447727,0.8545253089039494
0,8.0,AQP8,10126,1910.488716488135,5.300214501456799,0.7161852795297355,0.7337285961625781,0.8218747202910763,0.8421940114241049,0.8635881736573273
0,8.0,GATM,10005,10092.378121551343,0.9913421672772292,4.17642965835352e-05,0.31971909128553777,0.8218747202910763,0.8421940114241049,0.8635881736573273
0,8.0,AMY2A,9869,27517.645648165893,0.35864260068549103,2.0893113824249632e-05,0.0803466776274594,0.8218747202910763,0.8421940114241049,0.8635881736573273
