target,lam_a,n_far,estimate
Ductal/tumor epithelial,0.07936269587278945,0,half_exposure0_baseline
Endocrine,0.02479205060517009,0,half_exposure0_baseline
Endothelial,0.1022756569473876,0,half_exposure0_baseline
Exocrine epithelial,0.027685768814846728,0,half_exposure0_baseline
Fibroblast / CAF,0.03685662202081359,0,half_exposure0_baseline
Immune,0.07253989230556816,0,half_exposure0_baseline
Mural / pericyte,0.034348512623191836,0,half_exposure0_baseline
