cls,molecules,mean_removal,frac_removed_over_half,mean_retention
ambient,800.0,0.8510510719771528,0.9525,0.1489489280228472
induction,3750.0,0.9998947335497508,1.0,0.00010526645024921955
inplane,1928.0,0.8256713763446327,0.8381742738589212,0.17432862365536728
outplane,1898.0,0.8461437323596388,0.863013698630137,0.1538562676403612
