cls,gene,n,removal_prob
inplane,PPP1R1B,1,0.9675847784475593
inplane,AMY2A,2,0.9999736609997723
inplane,GATM,1,0.9999435643520173
inplane,FKBP11,1,0.9691048628489739
inplane,RIDA,1,0.9240018428379558
inplane,AMY2A,2,0.9999788132304953
ambient,FKBP11,1,0.9509071388562792
ambient,DIRAS3,1,0.9524716302441196
induction,DPEP1,3,0.0443564543578695
induction,UMOD,7,0.00888162293483219
outplane,CLEC10A,1,0.3863684747241982
outplane,CFB,1,0.9195165614349221
outplane,AMY2A,3,0.9999722584576964
induction,DPEP1,4,0.04896247822784827
induction,UMOD,2,0.009286094711116855
induction,KCNK3,4,0.07176044683916183
inplane,AMY2A,3,0.9999786008151644
inplane,GATM,2,0.9999546778988467
inplane,FGL2,1,0.7753673720895421
inplane,CXCR4,1,0.45168147857626884
inplane,ANPEP,1,0.999739814477671
inplane,GATM,1,0.9999610375291423
outplane,CYP2A7,1,0.8022495698105049
outplane,CFTR,2,0.9998823061678026
outplane,AMY2A,1,0.9999804023372457
inplane,CFB,1,0.8115909514787208
inplane,MDM2,1,0.5622445025715981
inplane,EPCAM,1,0.9993283819569652
inplane,AMY2A,1,0.9999797901381303
induction,DPEP1,4,0.052478071150107386
induction,UMOD,3,0.009969427467611314
induction,KCNK3,3,0.07683442503629456
inplane,DST,1,0.644806721007104
inplane,CFTR,1,0.9998644879664765
inplane,PROX1,1,0.9313770556799765
inplane,GATM,1,0.9999507218783145
ambient,FKBP11,2,0.9648667223040842
ambient,KCNK3,1,0.32155519150187395
ambient,GLYATL1,1,0.7624615373421195
inplane,AMY2A,3,0.9999813543976364
inplane,GATM,1,0.9999606681863638
inplane,CFTR,1,0.9998830683712042
inplane,AMY2A,2,0.9999782065677906
inplane,AQP8,1,0.9998100929150351
induction,DPEP1,3,0.05328756588786454
induction,UMOD,6,0.010492636059780347
induction,KCNK3,1,0.07838382903735108
induction,DPEP1,3,0.07803012372257756
induction,UMOD,4,0.015835228907240873
induction,KCNK3,3,0.15359154148589027
outplane,AMY2A,4,0.9999807376980613
outplane,APOA5,1,0.49294698469135656
outplane,GATM,2,0.9999593563942838
outplane,INS,1,0.9975181504921464
induction,DPEP1,3,0.07211223723544613
induction,UMOD,3,0.014106631522396773
induction,KCNK3,4,0.1045937269952183
induction,DPEP1,2,0.0854937738181426
induction,UMOD,3,0.016717304973194014
induction,KCNK3,5,0.12310040160944535
inplane,GPRC5A,1,0.9894884830354863
inplane,SLC4A1,1,0.2722089407070354
inplane,AMY2A,2,0.9999812954023307
ambient,CFTR,1,0.9998847599347271
ambient,UMOD,1,0.03508122312724726
outplane,TMC5,1,0.9932332885967724
outplane,CFTR,2,0.9998869436347775
outplane,AMY2A,1,0.999980552582304
ambient,GATM,1,0.999961988477119
ambient,AQP3,1,0.9438747537497509
induction,DPEP1,8,0.059478121204900036
induction,UMOD,1,0.01158279402845852
induction,KCNK3,1,0.08699632969032267
induction,DPEP1,2,0.05181669573187331
induction,UMOD,4,0.00950381468243644
induction,KCNK3,4,0.06944814066057325
induction,DPEP1,1,0.09286651847466942
