dataset,init,removed,removed_frac,sensitivity_weighted,own_marker_false_removal,n_induced,seconds,entry_corr_vs_factors,flagged_retention
pancreas,nmf_factors,1193699.412912807,0.1929523014487686,0.9541987931691716,0.0,28,22.438594579696655,1.0,0.8335545736503464
pancreas,clusters,1189483.1733465497,0.1922707788485492,0.939419065518465,0.0,26,24.619990825653076,0.9949252672982284,0.8037835023800702
pancreas,pseudobulk,1233881.6551618578,0.1994474509273188,0.9600460959901546,0.0,26,18.75846838951111,0.9968810387546214,0.8167281791600595
nsclc,nmf_factors,2645085.5417676745,0.08745508580232518,0.7617788984177751,0.0,88,81.23804235458374,1.0,0.911216083017495
nsclc,clusters,2638223.3142706123,0.0872281983595283,0.7724120985032495,0.0,88,66.7639627456665,0.9591555514348881,0.9096331058981156
nsclc,pseudobulk,2791935.093199583,0.09231040708313634,0.8127928277128806,0.0,88,33.96505832672119,0.9328426171570597,0.9012497816924084
breast,nmf_factors,6664183.952122297,0.08112717537839563,0.7515148169536455,0.0,180,277.1933960914612,0.9999999999999999,0.7776954542979585
breast,clusters,6826742.81992477,0.08310610361211054,0.7680053038092728,0.0,129,270.9956841468811,0.9452273708172046,0.6186955068878346
breast,pseudobulk,6957827.904857498,0.08470188229277595,0.7872226446417692,0.0,129,219.71601057052612,0.9098162317910703,0.6168568516614349
