target,source,gene,owner,retained_molecules,log_fold_per_neighbor,z,dispersion,removed_frac,psi_share_e4,hit,z_raw,lfc_raw,hit_raw,clean,sign_consistent
Ductal/tumor epithelial,Exocrine epithelial,FBLN1,Fibroblast / CAF,2400.4107716273616,-0.2387646344663432,-12.750260447105951,1.0,0.3909977070284074,15.503518638025875,True,-10.272456946066859,-0.13568754937578167,True,False,True
Ductal/tumor epithelial,Fibroblast / CAF,FBLN1,Fibroblast / CAF,2400.4107716273616,-0.1920861693808613,-11.795523425506316,1.0,0.3909977070284074,170.76498164284806,True,6.0632769674933975,0.08160729737737737,True,False,False
Ductal/tumor epithelial,Endothelial,APCDD1,Fibroblast / CAF,5324.026296299718,0.2309488261349962,11.70451049774559,1.5403935976764669,0.1382302360661154,44.96073363241134,True,10.31606035044861,0.203544018956358,True,False,True
Ductal/tumor epithelial,Exocrine epithelial,APCDD1,Fibroblast / CAF,5324.026296299718,0.209677538335826,19.896740390199845,1.5403935976764669,0.1382302360661154,12.77619003718386,True,5.611089165059688,0.058733553045670586,False,False,True
Ductal/tumor epithelial,Fibroblast / CAF,APCDD1,Fibroblast / CAF,5324.026296299718,0.1557330090191009,12.86408717827436,1.5403935976764669,0.1382302360661154,81.01890552587055,True,16.8599984223746,0.20100629921238394,True,False,True
Ductal/tumor epithelial,Immune,APCDD1,Fibroblast / CAF,5324.026296299718,0.1872220105330293,13.849175731730664,1.5403935976764669,0.1382302360661154,26.196047398473254,True,12.033408663115232,0.1613264633584655,True,False,True
Ductal/tumor epithelial,Mural / pericyte,APCDD1,Fibroblast / CAF,5324.026296299718,0.3609599280874818,7.616778557249802,1.5403935976764669,0.1382302360661154,54.833752444816994,True,7.086787765810138,0.330305502765307,True,False,True
Ductal/tumor epithelial,Exocrine epithelial,MCF2L,Endothelial,2979.0624970157587,0.1619975683820413,13.777473422340146,1.0652799700579734,0.1082532711230079,7.2062935988445345,True,4.59827165615277,0.052052762456703525,False,False,True
Ductal/tumor epithelial,Exocrine epithelial,MMRN2,Endothelial,2802.4650527569947,-0.1174130881699335,-7.585306572920455,1.0,0.2383213103399617,16.97858086721367,True,-3.39497007944765,-0.03594270298697936,False,False,True
Ductal/tumor epithelial,Endothelial,VCAN,Fibroblast / CAF,28108.11014649531,-0.2526202569792909,-10.266949797705506,1.7979623989928228,0.2121543915056331,70.7091713954663,True,-9.461079067012436,-0.16947028300378703,True,False,True
Ductal/tumor epithelial,Exocrine epithelial,VCAN,Fibroblast / CAF,28108.11014649531,-0.7033581625460295,-41.90673544339467,1.7979623989928228,0.2121543915056331,16.35628898927507,True,-60.93457934259502,-0.6384768855644587,True,False,True
Ductal/tumor epithelial,Immune,VCAN,Fibroblast / CAF,28108.11014649531,-0.1071387592063356,-12.21977096136524,1.7979623989928228,0.2121543915056331,214.3437003281328,True,-9.386279351727472,-0.06850173002864109,True,False,True
Ductal/tumor epithelial,Exocrine epithelial,FGL2,Immune,696.7761277431339,0.3402506902225342,15.184489606761993,1.0,0.4953408826457339,9.54949141083556,True,15.166169226078289,0.2816111542710413,True,False,True
Ductal/tumor epithelial,Exocrine epithelial,TNC,Mural / pericyte,8477.082428958816,-0.4158278510552614,-18.35521821019877,2.4160208403655044,0.0522275926388525,2.765741679727113,True,-26.099288309625262,-0.5669517371002694,True,True,True
Ductal/tumor epithelial,Fibroblast / CAF,TNC,Mural / pericyte,8477.082428958816,0.339039158718916,30.458205000705835,2.4160208403655044,0.0522275926388525,58.48207419098125,True,30.946271020367245,0.3345673659051046,True,False,True
Ductal/tumor epithelial,Immune,TNC,Mural / pericyte,8477.082428958816,0.0996055594196039,6.942050309813484,2.4160208403655044,0.0522275926388525,21.14785076439248,True,5.688437914279547,0.07862502475008291,False,False,True
Ductal/tumor epithelial,Endothelial,SEMA3C,Fibroblast / CAF,17304.86622877203,-0.2009859399834465,-7.431905547717385,1.7881093180252765,0.0272370637286927,10.893569822830942,True,-7.859647877262549,-0.20583214850667358,True,True,True
Ductal/tumor epithelial,Exocrine epithelial,SEMA3C,Fibroblast / CAF,17304.86622877203,-0.6132495411793892,-33.38962004544261,1.7881093180252765,0.0272370637286927,3.941181893611137,True,-43.693230816349306,-0.7552971235981583,True,True,True
Ductal/tumor epithelial,Fibroblast / CAF,SEMA3C,Fibroblast / CAF,17304.86622877203,0.1103938138566598,16.32590232888491,1.7881093180252765,0.0272370637286927,74.49860565895153,True,14.96281067735216,0.09964197871991316,True,False,True
Ductal/tumor epithelial,Exocrine epithelial,CTSK,Fibroblast / CAF,3921.98529985268,-0.1463473449953738,-10.93135368047144,1.0,0.3381983450633771,6.852893273101626,True,-21.91907646600326,-0.274844063911183,True,False,True
Ductal/tumor epithelial,Exocrine epithelial,CAVIN1,Mural / pericyte,7133.739527962256,-0.1242095425901391,-12.43928381573742,1.0,0.2531696651392412,17.024676561875786,True,-24.32577481218413,-0.2233494895390902,True,False,True
Ductal/tumor epithelial,Fibroblast / CAF,CAVIN1,Mural / pericyte,7133.739527962256,0.1431428488385393,18.002801873597523,1.0,0.2531696651392412,203.66741789437785,True,31.2521685552669,0.2408834219975536,True,False,True
Ductal/tumor epithelial,Immune,CAVIN1,Mural / pericyte,7133.739527962256,0.0891376516001804,8.655611093068194,1.0,0.2531696651392412,68.08243568665706,True,9.266241099377831,0.0899880218914353,True,False,True
Ductal/tumor epithelial,Exocrine epithelial,CXCR4,Immune,4031.54697212398,-0.2336365814995584,-14.359031166701053,1.1425837824519751,0.1787278057186699,10.041178820564827,True,-19.99439294521193,-0.26728439057398584,True,False,True
Ductal/tumor epithelial,Fibroblast / CAF,CXCR4,Immune,4031.54697212398,-0.1271077540397009,-9.75410163416564,1.1425837824519751,0.1787278057186699,49.05271746035992,True,-9.834918075023577,-0.13136632365348383,True,False,True
Ductal/tumor epithelial,Immune,CXCR4,Immune,4031.54697212398,-0.2498654808087224,-12.030429881733484,1.1425837824519751,0.1787278057186699,206.70318650357808,True,2.308677456330327,0.03788768809376173,False,False,False
Ductal/tumor epithelial,Exocrine epithelial,GPC1,Ductal/tumor epithelial,8278.0,0.0872552250166068,10.630339909402991,1.221027801149385,0.0,0.0,True,-10.00665325801373,-0.08264223174119686,True,True,False
Ductal/tumor epithelial,Fibroblast / CAF,GPC1,Ductal/tumor epithelial,8278.0,0.1458908325220396,17.441487916044426,1.221027801149385,0.0,0.0,True,15.23621058281029,0.12969409857177128,True,True,True
Ductal/tumor epithelial,Exocrine epithelial,CD14,Immune,995.4000605233203,0.2482402772952681,13.044237169723688,1.0,0.4143446582101356,8.558433975600012,True,10.711462649060188,0.17477655097099157,True,False,True
Ductal/tumor epithelial,Exocrine epithelial,PCNA,Ductal/tumor epithelial,6647.0,0.0761136845621978,8.327669845965225,1.289953981957354,0.0,0.0,True,-10.381404103286357,-0.09147491459080259,True,True,False
Ductal/tumor epithelial,Fibroblast / CAF,LTBP2,Fibroblast / CAF,3652.01227362745,0.1684427805368523,14.046698727685508,1.1218319918304207,0.397223002092937,251.08170102920425,True,34.603204929408186,0.36104348684011667,True,False,True
Ductal/tumor epithelial,Immune,LTBP2,Fibroblast / CAF,3652.01227362745,0.173727211925889,12.24752238235364,1.1218319918304207,0.397223002092937,78.17882895481864,True,11.079701968361741,0.13621240938566914,True,False,True
Ductal/tumor epithelial,Endothelial,NTN4,Ductal/tumor epithelial,19179.0,0.1128411017730851,9.97995847028092,1.4281527602587962,0.0,0.0,True,8.973886199126184,0.10068466675787094,True,True,True
Ductal/tumor epithelial,Exocrine epithelial,NTN4,Ductal/tumor epithelial,19179.0,0.2086604257449943,39.92754793893855,1.4281527602587962,0.0,0.0,True,8.409252295249493,0.043307290394740634,False,True,True
Ductal/tumor epithelial,Immune,NTN4,Ductal/tumor epithelial,19179.0,0.115105353479974,15.81458155403665,1.4281527602587962,0.0,0.0,True,16.316147069766142,0.11709927715390292,True,True,True
