cls,mean,count,retention
ambient,0.7828988715187603,800,0.21710112848123975
induction,0.7384154769207094,11250,0.2615845230792906
inplane,0.8090478609663329,1928,0.19095213903366715
outplane,0.8286919641063571,1898,0.17130803589364285
