cls,gene,n,removal_prob
induction,AQP8,5,0.9998511150332535
ambient,KCNK3,1,0.9710868207028323
ambient,HAMP,1,0.9024750291392885
ambient,PROX1,1,0.9397040606557286
ambient,AQP8,1,0.9998275075883797
ambient,CA4,1,0.8797594198176478
ambient,AQP8,1,0.9998253486205365
ambient,KLK11,1,0.996886251041574
ambient,HAMP,1,0.951735077277724
induction,AMY2A,5,0.9999700738658553
induction,GATM,2,0.9999356141371828
induction,AQP8,3,0.9997509800503881
induction,AMY2A,4,0.9999720422584585
induction,GATM,4,0.9999403660895193
induction,AQP8,2,0.9997685130259322
outplane,IRF8,1,0.6021813893362424
outplane,PRDM1,1,0.256477517083052
outplane,GHRL,1,0.9690495730707492
outplane,AMY2A,3,0.9999635430896228
outplane,AMY2A,3,0.9999808917031857
outplane,GATM,1,0.9999599505646966
outplane,CFTR,1,0.9998604289603751
outplane,AMY2A,2,0.9999764212616824
outplane,GATM,1,0.9999502587190958
outplane,MDM2,1,0.9263936081011582
outplane,CFTR,1,0.9998826295146807
outplane,C1orf162,1,0.8474611260546117
outplane,AMY2A,3,0.9999783104033572
inplane,PMP22,1,0.31551509654072596
inplane,AMY2A,2,0.9999819884834956
inplane,GATM,1,0.9999623516535264
ambient,CFTR,1,0.9998462927142645
ambient,PEBP4,1,0.6319625442491874
induction,AMY2A,5,0.9999820814949552
induction,GATM,4,0.9999625301303902
induction,AQP8,1,0.9998533262118007
ambient,KLK11,1,0.9969473815625853
ambient,AQP3,1,0.8637571268771106
inplane,CRISPLD2,1,7.383316180664679e-12
inplane,AMY2A,2,0.9999794923336307
inplane,GATM,1,0.9999570539197146
outplane,MS4A6A,1,0.6024328907179927
outplane,ADAM28,1,0.7744471062113778
outplane,AMY2A,2,0.9999803284276914
outplane,GATM,1,0.9999587487374247
outplane,CRHBP,1,0.14151542351384494
outplane,GATM,3,0.9999453883174142
outplane,AQP8,1,0.9997873613938956
induction,AMY2A,3,0.9999572887967891
induction,GATM,2,0.99990637968111
induction,AQP8,3,0.9996408037861612
induction,AMY2A,1,0.9999770098856634
induction,GATM,4,0.9999511696409238
induction,AQP8,5,0.999810105215345
inplane,FBN1,1,0.01595881896448259
inplane,MDM2,1,0.7225552771188999
