pair,stratum,totals,rate,excess_rate,lam
Endothelial -> B / plasma,0,2634644.0,0.006064196908576643,0.0,0.0
Endothelial -> B / plasma,1,944454.0,0.006486287315210693,0.0004220904066340502,0.005106918903490553
Endothelial -> B / plasma,2,209285.0,0.006722889839214468,0.0006586929306378253,0.007969599228504558
Endothelial -> B / plasma,3,32613.0,0.0077269800386349004,0.0016627831300582577,0.02011819853243421
Endothelial -> B / plasma,4,8370.0,0.008363201911589008,0.0022990050030123653,0.027815917927939155
Endothelial -> B / plasma,5,1346.0,0.010401188707280832,0.004336991798704189,0.0524737474554561
Endothelial -> B / plasma,6,540.0,0.013280212483399735,0.007216015574823092,0.08730737720579473
Endothelial -> B / plasma,7,213.0,0.013280212483399735,0.007216015574823092,0.08730737720579473
Epithelial -> B / plasma,0,910942.0,0.0008496699021452518,0.0,0.0
Epithelial -> B / plasma,1,942523.0,0.0008965298459560138,4.685994381076197e-05,0.0013713529614772884
Epithelial -> B / plasma,2,639959.0,0.0011563240770111835,0.0003066541748659317,0.008974212870378848
Epithelial -> B / plasma,3,389937.0,0.0016541133567730172,0.0008044434546277654,0.023541981149184574
Epithelial -> B / plasma,4,260135.0,0.0023449362830837836,0.0014952663809385319,0.043758865524430084
Epithelial -> B / plasma,5,178399.0,0.0028755766568198254,0.0020259067546745738,0.0592880187590358
Epithelial -> B / plasma,6,133112.0,0.0030726005168579843,0.0022229306147127327,0.06505390817273508
Epithelial -> B / plasma,7,107157.0,0.004501093943365586,0.003651424041220334,0.10685866787972681
Epithelial -> B / plasma,8,84352.0,0.004501093943365586,0.003651424041220334,0.10685866787972681
Epithelial -> B / plasma,9,64552.0,0.004833312678150948,0.003983642776005696,0.11658102579901891
Epithelial -> B / plasma,10,48117.0,0.005419218837005807,0.004569548934860555,0.13372752835007112
Epithelial -> B / plasma,11,33616.0,0.005419218837005807,0.004569548934860555,0.13372752835007112
Epithelial -> B / plasma,12,18835.0,0.005419218837005807,0.004569548934860555,0.13372752835007112
Epithelial -> B / plasma,13,12291.0,0.008380115531689854,0.007530445629544602,0.220377961975874
Epithelial -> B / plasma,14,5766.0,0.009712105445716268,0.008862435543571016,0.2593585531740754
Epithelial -> B / plasma,15,1772.0,0.011286681715575621,0.01043701181343037,0.30543841702247326
Fibroblast / CAF -> B / plasma,0,2932206.0,0.010834504806278959,0.0,0.0
Fibroblast / CAF -> B / plasma,1,766477.0,0.011260611864413414,0.0004261070581344558,0.004206696918581533
Fibroblast / CAF -> B / plasma,2,117992.0,0.011907586955047799,0.0010730821487688405,0.010593890156089181
Fibroblast / CAF -> B / plasma,3,12655.0,0.01201106282101936,0.001176558014740401,0.01161544471196975
Fibroblast / CAF -> B / plasma,4,2087.0,0.013583138173302109,0.00274863336702315,0.027135592557394655
Fibroblast / CAF -> B / plasma,5,48.0,0.013583138173302109,0.00274863336702315,0.027135592557394655
Myeloid -> B / plasma,0,511173.0,0.002081487089498076,0.0,0.0
Myeloid -> B / plasma,1,787048.0,0.0029705939154918122,0.0008891068259937363,0.01424102445092863
Myeloid -> B / plasma,2,834037.0,0.0033283895078995295,0.0012469024184014535,0.01997191710740756
Myeloid -> B / plasma,3,678918.0,0.003900323750438197,0.001818836660940121,0.029132716793331792
Myeloid -> B / plasma,4,454592.0,0.004601928762494721,0.002520441672996645,0.040370482424501766
Myeloid -> B / plasma,5,272116.0,0.005155889400108777,0.003074402310610701,0.0492433948288087
Myeloid -> B / plasma,6,161532.0,0.005267811867453975,0.003186324777955899,0.05103608221740204
Myeloid -> B / plasma,7,77087.0,0.005267811867453975,0.003186324777955899,0.05103608221740204
Myeloid -> B / plasma,8,32365.0,0.00587053916267573,0.003789052073177654,0.060690101169400906
Myeloid -> B / plasma,9,13085.0,0.008142673806257468,0.006061186716759393,0.0970833939313637
Myeloid -> B / plasma,10,5271.0,0.008142673806257468,0.006061186716759393,0.0970833939313637
Myeloid -> B / plasma,11,2672.0,0.008142673806257468,0.006061186716759393,0.0970833939313637
Myeloid -> B / plasma,12,1428.0,0.008142673806257468,0.006061186716759393,0.0970833939313637
Myeloid -> B / plasma,13,141.0,0.008142673806257468,0.006061186716759393,0.0970833939313637
T / NK -> B / plasma,0,388515.0,0.0013641686936154331,0.0,0.0
T / NK -> B / plasma,1,695675.0,0.0017752542494699393,0.00041108555585450614,0.012727307169694639
T / NK -> B / plasma,2,747862.0,0.0023921525629059907,0.0010279838692905576,0.031826626558931516
T / NK -> B / plasma,3,642447.0,0.003684350615692812,0.002320181922077379,0.07183338745743387
T / NK -> B / plasma,4,488621.0,0.004627308281879002,0.003263139588263569,0.10102758242403492
T / NK -> B / plasma,5,350735.0,0.00641509971916119,0.005050931025545757,0.15637803308714074
T / NK -> B / plasma,6,230878.0,0.009281958436923397,0.007917789743307964,0.24513666494233136
T / NK -> B / plasma,7,144793.0,0.009765665467253251,0.008401496773637818,0.2601123503379227
T / NK -> B / plasma,8,76493.0,0.011491247565136678,0.010127078871521245,0.3135367849684145
T / NK -> B / plasma,9,38238.0,0.01406977352371986,0.012705604830104427,0.39336856561004446
T / NK -> B / plasma,10,18849.0,0.0145365801899305,0.013172411496315067,0.40782101168875484
T / NK -> B / plasma,11,6713.0,0.01698767795190812,0.015623509258292688,0.48370758487373267
T / NK -> B / plasma,12,1646.0,0.01698767795190812,0.015623509258292688,0.48370758487373267
B / plasma -> Endothelial,0,825169.0,0.0014494000622902702,0.0,0.0
B / plasma -> Endothelial,1,280753.0,0.0034549942476126702,0.0020055941853224,0.05558734804382577
B / plasma -> Endothelial,2,102909.0,0.007181101750089886,0.0057317016877996155,0.15886070020285992
B / plasma -> Endothelial,3,42401.0,0.007924341407042287,0.0064749413447520165,0.1794604415629723
B / plasma -> Endothelial,4,15641.0,0.009514505373147008,0.008065105310856737,0.22353366359238513
B / plasma -> Endothelial,5,5074.0,0.009514505373147008,0.008065105310856737,0.22353366359238513
B / plasma -> Endothelial,6,1949.0,0.009514505373147008,0.008065105310856737,0.22353366359238513
B / plasma -> Endothelial,7,879.0,0.009514505373147008,0.008065105310856737,0.22353366359238513
B / plasma -> Endothelial,8,554.0,0.03814713896457766,0.03669773890228739,0.6
B / plasma -> Endothelial,9,180.0,0.03814713896457766,0.03669773890228739,0.6
Epithelial -> Endothelial,0,192408.0,0.0018866159411251092,0.0,0.0
Epithelial -> Endothelial,1,194348.0,0.0029689011463971842,0.001082285205272075,0.049763664054183455
Epithelial -> Endothelial,2,159308.0,0.00450699274361614,0.0026203768024910304,0.12048538616192024
Epithelial -> Endothelial,3,102574.0,0.0066293602667342605,0.004742744325609151,0.21807221808521965
Epithelial -> Endothelial,4,85875.0,0.009595342066957788,0.007708726125832678,0.35444858281621616
Epithelial -> Endothelial,5,74333.0,0.010923815801864582,0.009037199860739472,0.4155320387543288
Epithelial -> Endothelial,6,71317.0,0.012984281447621183,0.011097665506496074,0.5102726114713338
Epithelial -> Endothelial,7,66906.0,0.016029366778831447,0.014142750837706337,0.6
Epithelial -> Endothelial,8,63854.0,0.016029366778831447,0.014142750837706337,0.6
Epithelial -> Endothelial,9,50627.0,0.01605862484445059,0.01417200890332548,0.6
Epithelial -> Endothelial,10,52066.0,0.017959711167637647,0.016073095226512537,0.6
Epithelial -> Endothelial,11,45430.0,0.017959711167637647,0.016073095226512537,0.6
Epithelial -> Endothelial,12,38751.0,0.020412376454801165,0.018525760513676055,0.6
Epithelial -> Endothelial,13,33997.0,0.02100185310468571,0.0191152371635606,0.6
Epithelial -> Endothelial,14,26499.0,0.021208347484810746,0.019321731543685636,0.6
Epithelial -> Endothelial,15,17216.0,0.022479089219330856,0.020592473278205747,0.6
Fibroblast / CAF -> Endothelial,0,893592.0,0.0036806506772665824,0.0,0.0
Fibroblast / CAF -> Endothelial,1,296182.0,0.004267628425472507,0.0005869777482059245,0.0069227213095531545
Fibroblast / CAF -> Endothelial,2,66177.0,0.004267628425472507,0.0005869777482059245,0.0069227213095531545
Fibroblast / CAF -> Endothelial,3,15837.0,0.004267628425472507,0.0005869777482059245,0.0069227213095531545
Fibroblast / CAF -> Endothelial,4,3609.0,0.0064498790647675355,0.002769228387500953,0.03265983493883129
Fibroblast / CAF -> Endothelial,5,112.0,0.0064498790647675355,0.002769228387500953,0.03265983493883129
Myeloid -> Endothelial,0,418071.0,0.0034300393952223424,0.0,0.0
Myeloid -> Endothelial,1,276012.0,0.007858353984609365,0.004428314589387023,0.042016547326477555
Myeloid -> Endothelial,2,210605.0,0.011072861518007645,0.007642822122785303,0.07251630184528267
Myeloid -> Endothelial,3,149008.0,0.01328116611188661,0.009851126716664268,0.09346904416001439
Myeloid -> Endothelial,4,101450.0,0.015179891572203055,0.011749852176980713,0.11148445082388848
Myeloid -> Endothelial,5,58007.0,0.017687520471667214,0.014257481076444872,0.13527722936407865
Myeloid -> Endothelial,6,36177.0,0.018756505725038033,0.01532646632981569,0.14541993006497417
Myeloid -> Endothelial,7,13779.0,0.018756505725038033,0.01532646632981569,0.14541993006497417
Myeloid -> Endothelial,8,6981.0,0.022490089798559987,0.019060050403337643,0.18084476467326532
Myeloid -> Endothelial,9,3964.0,0.022490089798559987,0.019060050403337643,0.18084476467326532
Myeloid -> Endothelial,10,899.0,0.022490089798559987,0.019060050403337643,0.18084476467326532
Myeloid -> Endothelial,11,517.0,0.022490089798559987,0.019060050403337643,0.18084476467326532
Myeloid -> Endothelial,12,39.0,0.15384615384615385,0.1504161144509315,0.6
